antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Accident_Severity|1,1st_Road_Class|3,0.012592247973135,0.458158502247907,0.006977809038519,0.554135294460982,1.20948381781016,0.001208563567213,1.21525990063969
Accident_Severity|1,1st_Road_Class|4,0.012592247973135,0.126589097889973,0.0017639289754,0.140080546314131,1.10657670090898,0.000169887664074,1.01568920015279
Accident_Severity|1,1st_Road_Class|5,0.012592247973135,0.093541888535858,0.001129649514662,0.089709916535341,0.959034694931907,-4.8253141656621E-05,0.99579038366986
Accident_Severity|1,1st_Road_Class|6,0.012592247973135,0.279912009342944,0.001986625008544,0.15776571528629,0.563626103991121,-0.001538096423761,0.854973495767661
1st_Road_Class|3,Accident_Severity|1,0.458158502247907,0.012592247973135,0.006977809038519,0.01523012015336,1.20948381781016,0.001208563567213,1.00267866862524
1st_Road_Class|4,Accident_Severity|1,0.126589097889973,0.012592247973135,0.0017639289754,0.01393428821914,1.10657670090898,0.000169887664074,1.00136100488027
1st_Road_Class|5,Accident_Severity|1,0.093541888535858,0.012592247973135,0.001129649514662,0.012076402693423,0.959034694931907,-4.8253141656621E-05,0.999477849014722
1st_Road_Class|6,Accident_Severity|1,0.279912009342944,0.012592247973135,0.001986625008544,0.007097319665588,0.563626103991121,-0.001538096423761,0.994465793660969
Junction_Control|Giveway or uncontrolled,Accident_Severity|1,0.495899967587805,0.012592247973135,0.004001178892532,0.008068520173524,0.6407529609278,-0.002243316469204,0.995439475516592
Junction_Control|None,Accident_Severity|1,0.391752456087356,0.012592247973135,0.007898726957759,0.020162546105385,1.60118718662467,0.002965682886622,1.00772607548544
Light_Conditions|Darkeness: No street lighting,Accident_Severity|1,0.053241256240818,0.012592247973135,0.002298987431271,0.043180563224738,3.4291385713544,0.001628560330285,1.0319687436061
Light_Conditions|Darkness: Street lights present and lit,Accident_Severity|1,0.199555489898199,0.012592247973135,0.002727475178212,0.013667753162809,1.08541010246684,0.000214622965013,1.00109040862561
Light_Conditions|Daylight: Street light present,Accident_Severity|1,0.733817972819324,0.012592247973135,0.007374693057984,0.010049758020576,0.798090860505343,-0.0018657248229,0.997431699246343
Road_Surface_Conditions|Dry,Accident_Severity|1,0.694536744477984,0.012592247973135,0.008644721920272,0.012446745242787,0.988445055191169,-0.000101056992649,0.999852663408634
Road_Surface_Conditions|Wet/Damp,Accident_Severity|1,0.27771003800532,0.012592247973135,0.003685141617773,0.013269745826408,1.05380277252467,0.000188147954581,1.00068660897992
Road_Type|Dual carriageway,Accident_Severity|1,0.148312618192429,0.012592247973135,0.002562106836768,0.017275042865497,1.37187918331592,0.000694517570944,1.00476511241356
Road_Type|Single carriageway,Accident_Severity|1,0.752800053505846,0.012592247973135,0.009596508596581,0.0127477522775,1.01234920918779,0.000117063648646,1.00015751223127
Speed_limit|30,Accident_Severity|1,0.647149527524274,0.012592247973135,0.00432162598973,0.006677940423232,0.530321546834084,-0.003827441336554,0.994045931535615
Speed_limit|40,Accident_Severity|1,0.084076939642025,0.012592247973135,0.001217845963432,0.014484898815508,1.15030285667898,0.000159128290638,1.00192046863625
Speed_limit|60,Accident_Severity|1,0.150449912134288,0.012592247973135,0.004576660720756,0.03041982980137,2.41575847825331,0.002682158119625,1.01838690845398
Speed_limit|70,Accident_Severity|1,0.074240095722546,0.012592247973135,0.001691901875571,0.022789597172585,1.80981165723587,0.000757052180683,1.01043516234574
Accident_Severity|1,Junction_Control|Giveway or uncontrolled,0.012592247973135,0.495899967587805,0.004001178892532,0.317749372555886,0.6407529609278,-0.002243316469204,0.738878078134839
Accident_Severity|1,Junction_Control|None,0.012592247973135,0.391752456087356,0.007898726957759,0.627269013015817,1.60118718662467,0.002965682886622,1.63186739271145
Accident_Severity|1,Light_Conditions|Darkeness: No street lighting,0.012592247973135,0.053241256240818,0.002298987431271,0.18257164536275,3.4291385713544,0.001628560330285,1.15821617685299
Accident_Severity|1,Light_Conditions|Darkness: Street lights present and lit,0.012592247973135,0.199555489898199,0.002727475178212,0.216599544738224,1.08541010246684,0.000214622965013,1.021756503619
Accident_Severity|1,Light_Conditions|Daylight: Street light present,0.012592247973135,0.733817972819324,0.007374693057984,0.585653417381661,0.798090860505343,-0.0018657248229,0.642413955724259
Accident_Severity|1,Road_Surface_Conditions|Dry,0.012592247973135,0.694536744477984,0.008644721920272,0.686511410727835,0.988445055191169,-0.000101056992649,0.974399917493708
Accident_Severity|1,Road_Surface_Conditions|Wet/Damp,0.012592247973135,0.27771003800532,0.003685141617773,0.292651608007938,1.05380277252467,0.000188147954581,1.02112335331751
Accident_Severity|1,Road_Type|Dual carriageway,0.012592247973135,0.148312618192429,0.002562106836768,0.203466993521275,1.37187918331592,0.000694517570944,1.06924305067115
Accident_Severity|1,Road_Type|Single carriageway,0.012592247973135,0.752800053505846,0.009596508596581,0.762096538843168,1.01234920918779,0.000117063648646,1.03907671326898
Accident_Severity|1,Speed_limit|30,0.012592247973135,0.647149527524274,0.00432162598973,0.34319733846962,0.530321546834085,-0.003827441336554,0.537224486352671
Accident_Severity|1,Speed_limit|40,0.012592247973135,0.084076939642025,0.001217845963432,0.096713943851048,1.15030285667898,0.000159128290638,1.01399003574006
Accident_Severity|1,Speed_limit|60,0.012592247973135,0.150449912134288,0.004576660720756,0.363450650790871,2.41575847825331,0.002682158119625,1.33461779345344
Accident_Severity|1,Speed_limit|70,0.012592247973135,0.074240095722546,0.001691901875571,0.13436059067297,1.80981165723587,0.000757052180683,1.06945212325437
